orf	mRNA	Protein	Length	dN	CAI
YML111W	63.36118364	540255057.3	2763	0.104899977	0.1441
YML098W	103.9690576	142033885.5	504	0.105099888	0.1021
YML048W	279.2289592	1889139299	1212	0.105100118	0.1937
YHL014C	40.21022029	132446795.1	1218	0.105199955	0.1292
YNR041C	110.3011672	374596666.7	1119	0.105200362	0.1068
YMR264W	213.5073339	401338686.5	612	0.105300077	0.1255
YOR125C	109.6602069	296002857.1	702	0.105400205	0.1681
YML082W	80.63276838	259054186.7	1950	0.105500034	0.1046
YBR102C	38.45245083	438125008.5	2262	0.105599942	0.1323
YPL065W	67.01517081	14346469.83	729	0.105699901	0.1557
YHR129C	37.25574889	15932644.5	1155	0.105699937	0.0983
YOL145C	81.25669895	989589492.3	3234	0.106000079	0.1875
YNL236W	81.16606147	607373529.8	2925	0.106200084	0.1262
YOR103C	324.6495023	498520445.7	393	0.106399962	0.156
YMR212C	115.6011287	801647063	2349	0.106500078	0.154
YGL018C	31.02475861	206358677.6	555	0.106600056	0.2061
YPL126W	160.2433888	1374460415	2691	0.106699893	0.1687
YAL060W	212.0909808	1559445477	1149	0.106699929	0.2241
YML080W	115.1530149	712154657.9	1272	0.106700054	0.168
YGL122C	283.635188	1604363032	1578	0.106900031	0.1604
YDL060W	234.3757814	634898416.5	2367	0.107100029	0.182
YBR016W	432.2838691	38818397.42	387	0.107100319	0.1065
YOR141C	63.36436079	1084875939	2646	0.10730004	0.1511
YKL017C	40.75871571	160380177.4	2052	0.107600043	0.164
YOR252W	93.67606135	429151053.7	426	0.107600049	0.1558
YDR337W	110.0998495	1466548301	861	0.107700043	0.1319
YMR276W	404.2759849	996016367.9	1122	0.107800099	0.1485
YBR256C	319.8728446	514074673.7	717	0.107800314	0.1614
YHR106W	92.22111135	79932916.51	1029	0.107800326	0.1375
YDR255C	41.60744889	217140857.1	1266	0.107900017	0.1367
YOR120W	73.82277514	2759132837	939	0.108099982	0.209
YJL109C	198.9771646	1545694407	5310	0.108100246	0.1702
YDL230W	79.39118649	232975336	1008	0.108200166	0.1146
YLR008C	199.5222016	2050742857	507	0.108200204	0.1605
YOR206W	228.0286395	3272306367	2133	0.108200275	0.2236
YDR248C	112.7615365	449923813	582	0.108300109	0.1607
YPL173W	102.1137941	1769685714	894	0.108400327	0.1405
YPL271W	509.3789069	557911070.3	189	0.108400382	0.1677
YOR085W	251.3598734	707267573.3	1053	0.108500297	0.1861
YCL044C	65.92405861	505154176.4	1254	0.10900018	0.1302
YBR101C	286.0615472	1354019930	873	0.109300265	0.1581
YMR214W	134.0847843	300902927.4	1134	0.109300335	0.1593
YGL056C	146.9140655	251670136.2	1584	0.109399954	0.1167
YMR250W	94.32722921	1056776473	1758	0.109400243	0.1707
YIL144W	39.61029789	110063954.5	2076	0.109400283	0.1424
YDL213C	270.0987252	501097060.4	678	0.109500216	0.189
YJL141C	90.114318	500440993.6	2424	0.109600317	0.1245
YDR245W	248.6158818	357394045.6	1182	0.109700188	0.1268
YBR195C	82.30770306	63509048.21	1269	0.109700317	0.1306
YNL141W	239.2377597	1978622658	1044	0.109799921	0.2484
YAR002C-A	445.7877548	2293451104	660	0.109800029	0.3254
YDR503C	55.68994	120473038.3	825	0.109800242	0.1111
YDR063W	191.5334119	521582708.9	450	0.110000219	0.1557
YCL010C	77.90347917	59915316.94	780	0.110000281	0.104
YML061C	70.01745658	262871852.2	2580	0.110100101	0.1342
YBL104C	53.96476027	471885583.9	3117	0.110100135	0.1417
YPL207W	174.7948868	782388172.6	2433	0.110299975	0.146
YBR236C	88.27801892	701865117.5	1311	0.110300088	0.1587
YOR291W	103.7040644	698687899.8	4419	0.110300147	0.1354
YDR153C	145.1486062	411337882.3	1236	0.110300157	0.1605
YOR036W	77.64291105	184868714.3	867	0.110399933	0.1033
YGL095C	79.97422973	1062562573	1734	0.110400342	0.1465
YGL101W	153.0370195	283572997.9	648	0.110600206	0.184
YIL124W	350.4604015	367158347.6	894	0.110799945	0.1835
YDR468C	125.6151697	297033838	675	0.110800236	0.187
YGR257C	144.6657084	95192315.33	1101	0.110999905	0.1024
YBL011W	130.8006114	488894768.3	2280	0.110999926	0.1658
YDR434W	140.6736492	428025968.3	1605	0.110999994	0.1436
YGL016W	81.62673182	334456584.9	3246	0.111000043	0.1797
YHR147C	198.2504136	591229739	645	0.111000045	0.1225
YKR066C	234.5750976	2000410753	1086	0.111100177	0.1781
YMR148W	161.1358833	1493073.402	447	0.111100239	0.1368
YHR122W	106.2950927	242372315.2	696	0.111300324	0.1273
YJL171C	159.5958982	146473065	1191	0.111300333	0.2204
YLL004W	74.07419861	155521857.1	1851	0.111399927	0.1335
YPL119C	16.31653474	60430849.8	1854	0.111400322	0.12
YPL239W	230.4871338	1294553105	603	0.111500292	0.1515
YMR087W	55.73253257	45879142.86	855	0.111699943	0.0968
YKL021C	158.6994547	600064625.2	1407	0.112000242	0.1932
YNL156C	221.0440692	516080385.5	900	0.112000349	0.1464
YER169W	78.84757361	118826780.7	2391	0.112200253	0.1181
YDR443C	45.39672273	41265313.17	4263	0.112399988	0.1246
YKL078W	82.19608265	341313340.1	2208	0.112399994	0.1375
YEL037C	255.4970769	864126454.1	1197	0.112700327	0.1635
YPR073C	195.9977563	989150335.2	486	0.112800151	0.2172
YGR026W	316.5402945	697745097.5	837	0.11300007	0.1963
YNL216W	115.2649746	907626731	2484	0.113100172	0.1455
YBR139W	137.1794962	744476093.2	1527	0.113199934	0.1503
YKL040C	153.2870406	1129254199	771	0.113200155	0.1928
YKL033W-A	521.0079428	2007225811	711	0.113399909	0.1679
YKR067W	87.16805579	369799154.4	2232	0.113500082	0.1713
YDR033W	2191.91032	1809039899	963	0.11360026	0.5079
YFL026W	804.7923511	167948708.3	1296	0.113699997	0.1362
YKL094W	269.6486387	886909954.7	942	0.113700003	0.1465
YDL119C	48.614855	26682197	924	0.113700272	0.0935
YOL066C	63.94720946	281454326.1	1776	0.113799997	0.1355
YGR105W	330.8309073	720907700.3	234	0.1138999	0.1096
YEL006W	123.1563734	48197153.75	1008	0.11390005	0.1074
YJR024C	307.3773063	156973636.3	735	0.113900294	0.1213
YHR165C	103.1490997	390929777.1	7242	0.114000078	0.1481
YLR002C	134.4739314	556520043.7	1992	0.114100065	0.1696
YPL245W	168.5619639	433763872.6	1365	0.114100353	0.1756
YOR115C	184.3433945	136131728.3	807	0.114300078	0.1188
YPL069C	50.44582886	90551354.5	1008	0.114400074	0.1391
YLL029W	124.3683595	639746655.4	2250	0.114699972	0.1418
YKL134C	29.37179061	380538461	2313	0.114800012	0.1355
YNL192W	168.6641476	626703206	3396	0.114900222	0.15
YER146W	424.3563516	53905807.36	282	0.115000359	0.1011
YOR232W	374.8920476	1922878968	687	0.115099929	0.2464
YOR092W	82.00785216	25952880	1842	0.115099994	0.1815
YNL163C	118.0322097	503451881.3	3333	0.115100281	0.1509
YBL038W	165.3895017	551887860.1	699	0.115200012	0.1544
YNL062C	179.2391469	1162956104	1437	0.115300336	0.1541
YBR057C	76.7446375	925940300	1101	0.11570028	0.1226
YPR140W	78.90289543	137535815.3	1146	0.115799977	0.1362
YJL125C	134.2758605	881496625.9	1152	0.115800376	0.1448
YJL145W	213.2246406	1952495920	885	0.115900132	0.2248
YER029C	128.8924056	134375688.5	591	0.116100271	0.0943
YDL229W	4709.949341	27030134804	1842	0.116100314	0.8204
YFR040W	83.24987216	216345886.4	3009	0.116300231	0.1567
YFR031C	98.35350865	385838163.6	3513	0.116500035	0.1505
YLR324W	57.330085	230903728.3	1572	0.116500332	0.1288
YHR073W	81.94819324	524025067.8	2991	0.116600022	0.1293
YJR138W	44.80038639	208383784.9	4755	0.116600187	0.1437
YNL293W	42.25571108	79225897.25	1902	0.116600361	0.115
YBR207W	365.2280103	75417322	1398	0.116700183	0.1447
YBL098W	77.176788	1015520070	1383	0.116900263	0.1655
YML052W	475.2994574	321196370.8	909	0.117000068	0.1431
YPL043W	296.1498979	1228966197	2058	0.117200233	0.2015
YKR008W	87.4792	995729621.8	1878	0.117300003	0.1665
YCR094W	69.7710373	205998518.6	1176	0.117400309	0.1304
YBR175W	109.019877	49888000	948	0.117700009	0.0888
YML079W	154.0202576	897797995.9	606	0.11779994	0.1571
YNL212W	112.3096989	1281910755	2349	0.118000164	0.1667
YDL117W	83.22164889	219530120.6	2658	0.118000179	0.1363
YKR088C	142.0641397	194552610.1	1014	0.118500271	0.1459
YJR110W	47.99345278	87809760.5	2067	0.118699905	0.1581
YMR039C	235.8432897	513629838.3	879	0.118700051	0.1941
YKL065C	486.5342939	1769554330	621	0.11870038	0.1537
YDR306C	82.71264789	101174375.1	1437	0.118899938	0.1244
YBR028C	88.90869629	380255684.3	1578	0.118900053	0.1486
YMR288W	44.08106595	304260492.4	2916	0.118900073	0.1315
YPR125W	192.4489036	1254533713	1365	0.118999913	0.1601
YBR155W	122.1962237	1640022931	1158	0.119400298	0.1833
YBR227C	95.30233379	886154380.9	1563	0.119400348	0.1658
YKL193C	96.53311474	1108541348	1017	0.119499952	0.1822
YLR222C	194.8927197	2068779641	2454	0.119599886	0.1668
YKL127W	274.3008647	1477693416	1713	0.11980003	0.1995
YJL122W	212.8255839	652578117.3	528	0.119899972	0.2131
YDL193W	94.28038694	96724320.81	1128	0.120100006	0.1991
YGL136C	49.78602676	28548500	963	0.120100067	0.1424
YGR002C	60.89290703	298575444.7	1431	0.120300065	0.1213
YIL145C	142.3118697	617207185.8	930	0.120400366	0.1264
YIL017C	77.74137793	62439624.29	2766	0.120500027	0.1133
YNL026W	120.698827	853714285.7	1455	0.120500289	0.1241
YDR178W	212.7386013	426933212.7	546	0.120599934	0.1941
YNL107W	76.927515	96662251.11	681	0.120599952	0.1247
YHR108W	258.2488163	2414053341	1758	0.12060038	0.1941
YPL070W	61.55896706	285105120.2	1839	0.120700371	0.1383
YDR294C	160.8047437	1064586122	1770	0.120800346	0.1614
YDR284C	195.1338555	249105379.8	870	0.120900353	0.1558
YGL197W	53.71640459	272852108.2	4464	0.121000201	0.125
YAL051W	54.08020162	59006460.43	3144	0.121199926	0.1426
YIR009W	47.03675771	188189688	336	0.121399984	0.092
YNL292W	94.04435417	862699605	1212	0.121400406	0.1326
YJL165C	67.89904132	359563782	2568	0.121500119	0.1333
YOR286W	284.2510424	974590005.7	450	0.121500217	0.1439
YIL116W	279.3674597	963915879.9	1158	0.121700087	0.2093
YPL094C	406.3644747	1481166534	825	0.12189998	0.1744
YNL115C	61.43753973	940529279.6	1935	0.122000263	0.1471
YKR076W	44.38145757	278102185.8	1113	0.122099919	0.1998
YAL042W	448.6569839	2580886250	1248	0.122299924	0.1179
YDR194C	274.7602481	2133312509	1995	0.12229996	0.2052
YDL170W	56.96046395	110585599.7	1587	0.122500233	0.1299
YKL028W	278.9120217	490186229.6	1449	0.122500247	0.2013
YMR058W	674.5762237	378544646.5	1911	0.122800119	0.2172
YCL029C	77.583195	179186700.1	1323	0.123300321	0.1333
YJL168C	67.51900351	656700025.3	2202	0.123400208	0.1383
YHR114W	78.48419081	935149831.4	1902	0.123600235	0.1573
YKR055W	50.00612784	79690827.63	876	0.123600299	0.1101
YOR265W	208.8492089	1246641932	321	0.123700252	0.1651
YBR241C	83.84728056	19123014.5	1467	0.123700289	0.1083
YOR367W	103.4684997	442378167.7	603	0.124000042	0.1582
YOL027C	198.9769876	1571079283	1722	0.124100327	0.1885
YJL183W	218.1235244	1435367715	1269	0.124299926	0.1764
YKR087C	104.1259705	197177428.6	1038	0.124500268	0.1128
YPL103C	51.00265297	116303454	1407	0.124599968	0.1169
YDR398W	264.64746	506717258.7	1932	0.124900072	0.1666
YJL192C	291.3022045	353262620.4	705	0.124999966	0.1595
YOL093W	87.13696132	518593984	882	0.125000333	0.1224
YBR177C	149.8503597	1578841730	1356	0.125000375	0.1665
YLR314C	175.4680357	4351491001	1563	0.125200336	0.1831
YCR035C	174.8625622	474087240.9	1185	0.125399902	0.1474
YCL032W	65.09472514	85900184.06	1041	0.125499996	0.1197
YBR123C	84.22252167	517658432.6	1950	0.125599998	0.135
YIL056W	169.1624934	56092879	1923	0.125699973	0.1442
YKL032C	175.4936961	882756702.3	1794	0.125800317	0.1706
YBR253W	126.7026683	55988919.22	366	0.125800417	0.0966
YLL023C	232.7907981	438288586.4	840	0.125999985	0.2
YJR140C	53.31736514	33388552.1	4947	0.126000302	0.1396
YER112W	255.2958716	877365955.8	564	0.126100259	0.2128
YOL034W	42.24012771	260395428.4	3282	0.126300216	0.164
YHR078W	86.03145211	48331218.57	1659	0.126500003	0.1096
YKL176C	128.0922456	48514604.29	2487	0.126700363	0.1172
YPL247C	41.09654842	183180422.3	1572	0.126800278	0.0994
YDL195W	361.2297784	5689351549	3822	0.126899913	0.2042
YCR081W	35.89903857	1249206.6	4284	0.126900219	0.1552
YDR055W	371.1222678	485143105.8	1335	0.126900246	0.2669
YBR110W	123.0832806	324536343	1350	0.126900334	0.1408
YDL146W	43.30635189	20785918.43	1476	0.127000217	0.1595
YLR295C	303.7725564	726207082.9	375	0.127000273	0.231
YKL183W	102.0117743	28573789.02	921	0.127099938	0.119
YBR170C	90.09191216	1189233090	1743	0.127200395	0.1293
YDR168W	185.7735689	2947937894	1521	0.127300266	0.2014
YML042W	24.53721378	38421350.71	2013	0.127400351	0.1751
YCL039W	97.05697667	81147399.75	2238	0.127400351	0.1322
YGL082W	161.4702503	314846487.1	1146	0.127500347	0.1349
YBR205W	226.8028789	968874264.2	1215	0.127600032	0.1861
YGL027C	118.3514555	1147838124	2502	0.127600368	0.1503
YLR059C	167.0606911	236527970.5	810	0.127800022	0.1439
YML022W	627.7404473	2892909902	564	0.12800002	0.2552
YFR014C	79.37525474	514610892.3	1341	0.128000406	0.163
YML018C	220.1432021	34143618.5	1182	0.128099982	0.1215
YCR051W	230.3565181	206178603	669	0.128099984	0.1407
YPR175W	59.6756973	110744639.1	2070	0.128100034	0.1473
YER080W	132.6093181	2308477071	1884	0.128100237	0.1992
YIR033W	82.95524658	156339434.4	3342	0.128299992	0.15
YNR039C	91.53419351	36813354.98	1818	0.128400082	0.1156
YMR188C	167.8862489	517225893.1	714	0.128400112	0.1499
YDR222W	44.38416243	536658751.4	1248	0.128599981	0.1845
YBR185C	82.99142216	49027871.11	837	0.12860011	0.1365
YMR275C	51.17246351	475674582.1	2931	0.128799962	0.1381
YOR360C	209.4615486	235183963.8	1581	0.129000027	0.1651
YOL060C	94.99731371	87016801.65	2121	0.129000248	0.1531
YNL080C	151.8408514	167867467.1	1101	0.12900029	0.1093
YDR111C	64.07453694	128314725.9	1524	0.129000389	0.1578
YER174C	203.8448022	447465813.8	735	0.129000399	0.144
YOR152C	77.92140242	34118233.63	771	0.129000421	0.1407
YLR401C	114.6508272	846697178.3	1830	0.129300075	0.1709
YJR132W	61.97927816	305109336.7	3147	0.12939994	0.1472
YEL002C	487.6454451	1424814042	1293	0.129400369	0.174
YGR036C	79.66978688	66755142.06	720	0.129499923	0.1101
YOR311C	223.2294763	229175802.3	873	0.129599954	0.1408
YOL115W	87.46188306	707632095.3	1755	0.129600061	0.1484
YNL088W	146.5742995	893163704.2	4287	0.129600367	0.1745
YDR036C	124.418328	516641191.5	1503	0.129699917	0.2028
YER168C	90.98082583	1310731570	1641	0.129800041	0.1374
YKR074W	328.5037476	657847247.2	468	0.129900027	0.183
YIL093C	85.90877622	598360212.6	795	0.130099944	0.1237
YIL096C	79.98210026	76718870	1011	0.130299913	0.1365
YDL046W	351.8358486	448664291.2	522	0.130400161	0.2275
YLR200W	164.0857418	696777654.3	345	0.13040041	0.1618
YIR023W	72.16093194	73917296.49	2913	0.130500077	0.1248
YKL129C	47.96153417	450226049.1	3816	0.130500279	0.147
YDR481C	315.4436595	408783669.4	1701	0.130599953	0.1593
YKL039W	199.6569819	544995714.3	1596	0.130599969	0.1534
YDL226C	194.7525342	1754576950	1059	0.13080025	0.1495
YMR104C	26.01198053	63113038.63	2034	0.130900309	0.1309
YLR201C	89.01147541	322277416.8	783	0.130999919	0.183
YBR193C	45.31460882	240773139.1	672	0.130999951	0.1401
YDR231C	78.64506176	815660000	618	0.131100391	0.1136
YNL218W	25.73912027	41484484.75	1764	0.131200025	0.1278
YOL142W	157.2086229	411696261.2	723	0.131299994	0.1406
YIL038C	130.9718386	840021360.5	2511	0.131300264	0.1443
YNL201C	58.64225081	385077044.8	2577	0.131400023	0.1429
YHR188C	212.8478162	599439181	1833	0.131500034	0.1399
YBR267W	165.6433581	819338325.7	1182	0.131600246	0.1674
YOR163W	188.4629076	251626402.7	567	0.131699924	0.1806
YJR113C	199.6747054	557551277.8	744	0.131799898	0.0972
YOR196C	124.2199216	493051626	1245	0.131900268	0.1413
YER101C	32.61256278	299060117.1	1293	0.132300068	0.1473
YER120W	612.9131878	4026672916	735	0.132500526	0.1944
YGR205W	47.09050189	283874368.1	873	0.132599912	0.166
YOR099W	504.2384553	2585560608	1182	0.132600073	0.2463
YPR105C	88.05494162	849054658.6	2586	0.132600087	0.1264
YGL195W	235.3232443	4732037160	8019	0.13270037	0.1895
YDR156W	286.7337615	136923941	414	0.132900116	0.1519
YBR037C	71.75561861	229089281.6	888	0.132999923	0.111
YNR049C	84.68052811	144287060.8	633	0.133000033	0.0964
YPL011C	104.1451122	12101593.88	1062	0.133499969	0.1192
YDR116C	102.3220619	671905194.5	858	0.133500336	0.1237
YPR047W	39.56201395	906030299.8	1410	0.133500388	0.1378
YBR176W	66.85088188	412936427.3	939	0.133700039	0.144
YGR178C	290.9369989	1994742671	2169	0.133700086	0.1683
YAL022C	135.2694792	273544843.6	1554	0.133700246	0.1191
YOR359W	173.9174403	178342599.2	1572	0.133800013	0.1468
YNL259C	396.6162592	360692874.8	222	0.133800399	0.1692
YFL044C	66.16115684	211474760.5	906	0.134000403	0.1804
YGR058W	28.79623378	10861058	1008	0.134100057	0.1311
YJR148W	603.7815092	774738847.3	1131	0.134100235	0.1947
YBR129C	110.5412486	394397695.5	987	0.134100369	0.1407
YGL219C	79.64906395	12706312.83	1380	0.13429998	0.1177
YGR170W	67.11584784	91251560.5	3417	0.13430005	0.1298
YPL206C	228.4900627	702719208.9	966	0.134400043	0.148
YCR043C	152.9833211	164286729.8	384	0.134400269	0.1693
YDR400W	79.83401703	289453666.7	1023	0.134600405	0.1378
YGL067W	112.2065376	260299737.6	1155	0.134700416	0.1523
YOR106W	88.12775378	378259712.9	852	0.134800043	0.136
YBR179C	47.03151389	284607108	2568	0.135000403	0.1432
YBR201W	98.92014063	45656042.25	636	0.135099919	0.102
YBL103C	61.68002167	117139881.9	1461	0.135099951	0.1466
YPL254W	86.11940216	269121360.7	1467	0.135100367	0.1147
YNL175C	308.1206514	2469937344	1212	0.13510039	0.2141
YHR132C	228.4335146	972849519.8	1293	0.135200252	0.157
YKL100C	166.6520269	936383074.7	1764	0.1353999	0.1775
YJL184W	147.5097576	110601430.6	372	0.13540004	0.0827
YDR161W	141.0075754	443650345.7	1164	0.135400072	0.1218
YDL103C	131.4989541	2965427102	1434	0.135500047	0.1767
YDR484W	42.30300297	153814319.5	1926	0.135800011	0.1438
YPL246C	349.8406095	784688848.9	789	0.13599988	0.1259
YIR004W	133.2902497	830456683.9	1299	0.136000018	0.1448
YHR076W	111.4819729	926800279.5	1125	0.136000354	0.1739
YPR189W	62.05044324	1517804855	4299	0.136099943	0.1479
YCR027C	54.90582344	503674076	630	0.136100079	0.0905
YHR085W	142.0054251	1118178532	1005	0.136100313	0.1141
YNL129W	130.0726505	518019974.1	723	0.136599939	0.1295
YGL248W	95.20295189	89951300.5	1110	0.136600089	0.1229
YBR288C	124.008448	428522464.8	1452	0.136800246	0.1232
YKL089W	52.91175486	151827190.1	1650	0.137000003	0.1419
YDR204W	96.18922778	698701428.6	1008	0.137000441	0.124
YLR422W	76.54683541	98329970.16	5799	0.137299911	0.1195
YMR221C	142.122263	123320880.4	1515	0.137299934	0.1458
YJR100C	87.38866771	96709571.43	984	0.137400237	0.1
YJR059W	126.1332921	535478950.4	2457	0.137400237	0.1552
YML091C	95.41034868	188894579.8	3609	0.137500327	0.1788
YOR368W	41.37585784	51731169.86	1206	0.137900007	0.102
YJR112W	111.6632112	84410015.72	606	0.137900114	0.0873
YFR048W	88.91031316	32085422.06	1989	0.138000267	0.1277
YER143W	64.03900472	732450070	1287	0.138200404	0.1247
YFR006W	229.4038082	515658715.6	1608	0.138300085	0.2096
YBR056W	111.9164224	1518769997	1506	0.138400201	0.202
YCR021C	33.33657973	70339465.63	999	0.138500017	0.23
YBR096W	278.5415194	539305852.5	693	0.138600265	0.2094
YFR045W	48.86162063	224650500.1	858	0.13860027	0.1279
YKL178C	110.2966203	441303333.3	1413	0.138600334	0.1317
YER087W	68.34866486	311098809.6	1731	0.138700293	0.1302
YDR083W	168.3726434	706922472.2	1152	0.138800312	0.1939
YMR286W	271.8134679	506959033.9	261	0.138800431	0.0997
YLR403W	87.15782079	117058256.8	2052	0.1389003	0.1626
YOR274W	57.10236	257055119.9	1287	0.139000171	0.1395
YNL313C	142.8634231	1790530133	2715	0.139300045	0.1581
YJR008W	39.69543211	166023292.4	1017	0.139300326	0.1391
YGR203W	44.38622946	131238828.1	447	0.139400247	0.0565
YNL232W	282.8275679	415695518.7	879	0.139599993	0.1193
YPR114W	297.1185697	148921559.9	948	0.139699919	0.1855
YIL091C	144.2512012	1344334111	2166	0.139799994	0.1675
YCR017C	220.9070111	20842387.28	2862	0.13980002	0.1545
YBR233W	48.40938139	98277323.88	1242	0.140000083	0.1316
YBR069C	385.0462719	594902387.4	1860	0.140100313	0.1513
YMR193W	142.1783306	1339828242	777	0.140200053	0.1747
YAL033W	111.3849049	190207169.4	522	0.140399968	0.0933
YPR127W	78.98263595	673206911.7	1038	0.140500243	0.237
YFL017C	200.6134091	293076394.1	480	0.140799899	0.144
YER037W	50.17489611	222438736.9	966	0.140799978	0.1616
YJL146W	56.65353892	257025295.7	1410	0.140800397	0.106
YBR213W	42.28806162	246524142.9	825	0.140899928	0.1057
YGR095C	217.3872368	47241496.84	672	0.140900071	0.1235
YGR120C	63.10053212	177610370	789	0.141000375	0.1423
YMR005W	162.9978814	371150193.8	1167	0.141200301	0.1239
YDR169C	83.03463342	398696339.8	1542	0.1412999	0.1079
YHR111W	80.41339919	98633614.34	1323	0.141300275	0.1235
YNL137C	127.2820864	2816838588	1461	0.14160041	0.1535
YOR158W	128.9552562	932413124.5	957	0.141799928	0.1548
YDR357C	133.2526354	120408798.4	369	0.141800341	0.136
YGR126W	14.31972568	63624857.14	693	0.141900011	0.1886
YKL103C	154.4331284	1550503700	1545	0.141900056	0.1899
YDR354W	159.0718827	1253504157	1143	0.141900325	0.1423
YBR133C	98.44562765	314003898	2484	0.14190039	0.127
YLR045C	82.1251475	587841699.9	2667	0.141999946	0.1279
YGL236C	62.99084919	187553857.1	2010	0.142099963	0.1211
YDL144C	120.7710488	175017166.8	1071	0.14220005	0.1184
YDL175C	69.01275139	155477724.6	1035	0.142200076	0.1314
YHR084W	156.2569168	250656031.3	2067	0.142299956	0.1416
YIL039W	269.57349	525615039.1	1422	0.142300311	0.2112
YGR237C	57.93805447	448074512.1	2358	0.142399963	0.1401
YER170W	51.58027257	31243067.63	678	0.142500027	0.0976
YLR382C	54.08039921	387308515	2685	0.142500068	0.1332
YPR188C	147.3135292	391879480.6	492	0.142500348	0.1288
YML059C	84.48787216	272956421.6	5040	0.142600372	0.1622
YHR063C	228.1202184	1726059645	1140	0.14280009	0.2035
YNL257C	79.8575573	137367048.9	3690	0.142899993	0.1264
YJR042W	127.4313508	743894661.8	2235	0.143000036	0.1307
YPL243W	239.8422861	1184483099	1800	0.143000358	0.1757
YDR519W	292.7598114	466330267.6	408	0.143300211	0.189
YNL311C	54.87654528	430614179	2292	0.143400281	0.1408
YIL150C	21.24713806	1434826107	1716	0.143400365	0.117
YOR051C	229.8732603	1139741255	1239	0.143600244	0.212
YCR030C	70.80727028	2362461807	2613	0.143700298	0.1665
YCL047C	89.32951314	92031135.76	777	0.143799966	0.1124
YMR009W	94.71697189	718713887.9	540	0.143800415	0.1627
YML093W	192.9576105	866786137.9	2700	0.143900121	0.2246
YDR493W	81.20990811	156998534.9	372	0.143900446	0.1214
YGR157W	405.04174	1342456436	2610	0.144000037	0.1703
YAL039C	157.3292286	417302392.1	810	0.144199965	0.1138
YHR137W	296.8144424	2120965971	1542	0.144300207	0.1734
YOR358W	44.97136139	95714921.43	729	0.144400088	0.1133
YBR042C	125.6197416	158866594.6	1194	0.144400381	0.1331
YGR187C	234.0562097	1120284583	1185	0.144700067	0.1841
YIL156W	53.20867541	54876325.75	3216	0.144799994	0.1245
YPL132W	87.33268162	598455625	903	0.145100031	0.1508
YOL018C	79.18999515	263227142.9	1194	0.145200429	0.1227
YDR266C	122.0063132	709579898.8	1920	0.145300407	0.1711
YNL164C	81.45628763	128334714.3	1056	0.14540041	0.1249
YEL058W	330.9254272	2228737947	1674	0.145500324	0.1557
YMR319C	230.7997439	142635624.3	1659	0.14550037	0.1975
YGR056W	60.92235784	103084362.4	2787	0.145600243	0.1325
YDL018C	95.56832788	190604828.7	678	0.145699926	0.1413
YER040W	44.71341343	31740431.5	2193	0.145799943	0.112
YCL016C	42.97533778	119575582	1143	0.145800048	0.1185
YDR152W	195.3492613	967661480.5	798	0.145800059	0.1815
YOR241W	190.2988113	1581857798	1647	0.145900253	0.1465
YDL224C	99.40299757	273442236.2	1950	0.145900341	0.1219
YOR273C	102.8810287	39282395.07	1980	0.145999909	0.1749
YDL161W	157.9706403	870261144.6	1365	0.146000325	0.1399
YGR234W	983.0577906	11468685304	1200	0.146100181	0.2669
YGR250C	79.84473919	797158429.6	2346	0.146100363	0.1447
YDR388W	463.9909908	1447767082	1449	0.146200298	0.1774
YMR100W	59.17221105	15132281.25	1863	0.146299965	0.1266
YDR121W	109.7810021	487161512	591	0.146300293	0.1249
YBL090W	118.6572286	701269033.5	534	0.146399906	0.1358
YGL119W	88.08325368	541367102.1	1506	0.14660005	0.1276
YLR207W	43.64023946	278158750.1	2502	0.146600286	0.1421
YKL025C	85.25873789	699693169.9	2040	0.146700302	0.1513
YOR372C	84.01181194	7982589.167	1665	0.146700328	0.1142
YGL231C	354.0393345	754633711.2	573	0.14679994	0.1391
YDL042C	97.73233556	340797340.9	1689	0.146800333	0.1478
YJL029C	86.82230447	413776973	2469	0.147099947	0.1312
YPL151C	59.81275	166005322.8	1356	0.147200035	0.1048
YDR347W	155.5901761	1141923850	966	0.14729998	0.1025
YER013W	45.76911417	91802168.89	3438	0.147300298	0.1302
YKR084C	116.0758716	564130024.4	1836	0.147300365	0.1485
YIL064W	115.5461922	356665478.8	774	0.147400397	0.1187
YOR231W	81.17538405	125171255	1527	0.147600301	0.105
YNL306W	257.2527886	515859412.9	654	0.147700036	0.138
YNR048W	42.68245432	57548176.22	1182	0.147700045	0.1195
YER022W	79.18946057	415316519.6	2064	0.148100018	0.1507
YNL160W	602.7484092	1520546738	1065	0.148200393	0.4479
YDR479C	82.51440972	22721922.97	1665	0.14840006	0.1089
YPR162C	64.61460889	105929447.8	1590	0.148400242	0.1267
YER155C	187.2224395	1131591480	6504	0.148500322	0.1486
YOL146W	99.11439595	113717482.2	585	0.148700053	0.1094
YKR060W	109.7020487	561713684.9	825	0.148800081	0.1549
YHR003C	105.5768646	546667111	1290	0.148800311	0.1276
YDR318W	67.3164475	15288707.43	1107	0.148900171	0.1318
YMR311C	190.5936678	765538075.3	690	0.148900287	0.1222
YEL056W	142.9742357	646555714.8	1206	0.148900295	0.15
YDR228C	90.32935395	637323605.9	1881	0.149000039	0.1688
YKR021W	71.63791973	124383051.8	2748	0.149100228	0.1289
YLR419W	55.32477162	1083996890	4308	0.149100288	0.1578
